time,Bx,By,Bz,Btotal
2020-09-07 15:53:13.2720,8.55,20.27,124.63,126.56
2020-09-07 15:53:13.3730,8.35,20.4,124.63,126.57
2020-09-07 15:53:13.4720,8.55,20.37,124.29,126.24
2020-09-07 15:53:13.5730,8.47,20.04,124.3,126.19
2020-09-07 15:53:13.6730,7.93,20.25,124.47,126.35
2020-09-07 15:53:13.7730,8.26,20.25,124.33,126.24
2020-09-07 15:53:13.8730,7.98,20.62,124.42,126.36
2020-09-07 15:53:13.9730,8.58,20.17,124.26,126.18
2020-09-07 15:53:14.0730,8.56,20.22,124.47,126.4
2020-09-07 15:53:14.1730,8.86,20.37,124.49,126.46
2020-09-07 15:53:14.2730,8.58,19.98,124.51,126.4
2020-09-07 15:53:14.3730,8.2,20.15,124.45,126.34
2020-09-07 15:53:14.4730,8.03,20.05,124.56,126.42
2020-09-07 15:53:14.5730,8.36,20.23,124.37,126.28
2020-09-07 15:53:14.6740,8.39,20.28,124.29,126.21
2020-09-07 15:53:14.7740,8.54,20.27,124.6,126.52
2020-09-07 15:53:14.8740,8.44,20.23,124.27,126.19
2020-09-07 15:53:14.9730,8.16,20.28,124.55,126.46
2020-09-07 15:53:15.0740,8.61,20.35,124.41,126.35
2020-09-07 15:53:15.1740,8.12,20.27,124.39,126.29
2020-09-07 15:53:15.2740,8.34,20.3,124.31,126.23
2020-09-07 15:53:15.3740,8.38,20.21,124.44,126.35
2020-09-07 15:53:15.4740,8.94,20.24,124.23,126.19
2020-09-07 15:53:15.5740,8.72,20.1,124.42,126.33
2020-09-07 15:53:15.6740,8.2,20.29,124.39,126.3
2020-09-07 15:53:15.7740,8.46,20.52,124.25,126.21
2020-09-07 15:53:15.8740,8.67,20.14,124.4,126.32
2020-09-07 15:53:15.9740,8.74,20.3,124.43,126.38
2020-09-07 15:53:16.0740,8.44,20.2,124.51,126.42
2020-09-07 15:53:16.1740,8.34,20.34,124.47,126.4
2020-09-07 15:53:16.2740,8.09,19.77,124.21,126.03
2020-09-07 15:53:16.3740,8.49,20.16,124.28,126.19
2020-09-07 15:53:16.4740,8.27,20.02,124.44,126.31
2020-09-07 15:53:16.5740,7.4,20.15,124.22,126.06
2020-09-07 15:53:16.6930,7.85,20.06,124.46,126.31
2020-09-07 15:53:16.7920,8.31,20.07,124.27,126.15
2020-09-07 15:53:16.8920,8.27,20.28,124.25,126.16
2020-09-07 15:53:16.9890,8.1,20.25,124.4,126.3
2020-09-07 15:53:17.0850,8.46,20.16,124.26,126.16
2020-09-07 15:53:17.1870,8.39,20.16,124.35,126.25
2020-09-07 15:53:17.2860,8.64,20.1,124.17,126.08
2020-09-07 15:53:17.3870,8.61,20.3,124.35,126.29
2020-09-07 15:53:17.4860,8.43,20.21,124.5,126.41
2020-09-07 15:53:17.5850,8.54,20.27,124.3,126.23
2020-09-07 15:53:17.6850,8.7,20.33,124.23,126.18
2020-09-07 15:53:17.7850,8.66,20.06,124.4,126.31
2020-09-07 15:53:17.8840,8.55,20.29,124.34,126.27
2020-09-07 15:53:17.9810,8.43,20.26,124.31,126.24
2020-09-07 15:53:18.0830,8.64,20.32,124.4,126.35
