time,Bx,By,Bz,Btotal
2020-09-08 16:30:30.1250,-23.23,15.37,-27.75,39.32
2020-09-08 16:30:30.2250,-23.11,15.13,-27.87,39.23
2020-09-08 16:30:30.3250,-23.05,15.12,-27.58,38.99
2020-09-08 16:30:30.4260,-22.81,15.08,-27.71,38.93
2020-09-08 16:30:30.5260,-23.04,15.16,-27.9,39.23
2020-09-08 16:30:30.6250,-23.01,15.16,-27.79,39.13
2020-09-08 16:30:30.7250,-23.25,14.97,-27.8,39.21
2020-09-08 16:30:30.8260,-23.17,15.15,-27.96,39.35
2020-09-08 16:30:30.9260,-23.78,15.08,-27.84,39.6
2020-09-08 16:30:31.0260,-22.94,15.16,-27.93,39.2
2020-09-08 16:30:31.1260,-23.28,14.98,-27.78,39.22
2020-09-08 16:30:31.2260,-23.06,15.17,-27.78,39.16
2020-09-08 16:30:31.3260,-23.08,15.09,-27.78,39.14
2020-09-08 16:30:31.4260,-23.3,15.1,-27.78,39.27
2020-09-08 16:30:31.5260,-22.95,14.93,-27.7,38.94
2020-09-08 16:30:31.6260,-23.11,15.2,-27.94,39.32
2020-09-08 16:30:31.7260,-22.88,14.96,-28.06,39.17
2020-09-08 16:30:31.8270,-23.41,15.23,-27.93,39.5
2020-09-08 16:30:31.9260,-23.34,15.2,-28.04,39.52
2020-09-08 16:30:32.0260,-22.82,15.24,-27.82,39.07
2020-09-08 16:30:32.1270,-23.16,14.92,-28.12,39.36
2020-09-08 16:30:32.2450,-23.12,15.24,-27.92,39.33
2020-09-08 16:30:32.3440,-22.89,15.04,-28.2,39.31
2020-09-08 16:30:32.4450,-22.83,15.16,-28.12,39.26
2020-09-08 16:30:32.5460,-22.8,14.83,-28.05,39.07
2020-09-08 16:30:32.6440,-22.91,15.11,-28.19,39.34
2020-09-08 16:30:32.7440,-23.05,15.08,-27.91,39.21
2020-09-08 16:30:32.8400,-22.98,15.32,-28.19,39.46
2020-09-08 16:30:32.9360,-22.78,15.09,-28.03,39.14
2020-09-08 16:30:33.0390,-23.13,15.05,-28.21,39.47
2020-09-08 16:30:33.1360,-22.97,15.17,-28.13,39.36
2020-09-08 16:30:33.2380,-23.06,15.18,-27.94,39.28
2020-09-08 16:30:33.3340,-22.81,15.38,-27.88,39.17
