time,Bx,By,Bz,Btotal
2020-09-07 16:14:48.7300,-15.58,17.56,12.75,26.71
2020-09-07 16:14:48.8230,-15.44,17.43,12.66,26.51
2020-09-07 16:14:48.9230,-15.77,17.32,12.82,26.71
2020-09-07 16:14:49.0230,-15.44,17.37,12.67,26.47
2020-09-07 16:14:49.1230,-15.54,17.47,12.94,26.72
2020-09-07 16:14:49.2230,-15.52,17.33,12.93,26.62
2020-09-07 16:14:49.3230,-15.88,17.22,12.96,26.77
2020-09-07 16:14:49.4230,-15.78,17.18,12.65,26.54
2020-09-07 16:14:49.5230,-15.59,17.11,12.67,26.39
2020-09-07 16:14:49.6230,-15.49,17.19,12.8,26.45
2020-09-07 16:14:49.7230,-15.52,17.34,12.74,26.54
2020-09-07 16:14:49.8240,-15.7,17.24,12.81,26.61
2020-09-07 16:14:49.9230,-15.75,17.14,12.74,26.54
2020-09-07 16:14:50.0240,-15.7,17.24,12.72,26.56
2020-09-07 16:14:50.1240,-15.86,17.21,12.86,26.7
2020-09-07 16:14:50.2240,-15.35,17.23,12.75,26.37
2020-09-07 16:14:50.3240,-15.63,17.29,12.89,26.63
2020-09-07 16:14:50.4250,-15.42,17.58,12.9,26.7
2020-09-07 16:14:50.5240,-15.7,17.29,12.73,26.6
2020-09-07 16:14:50.6240,-15.44,17.31,12.71,26.45
2020-09-07 16:14:50.7240,-15.37,17.25,12.76,26.39
2020-09-07 16:14:50.8240,-15.61,17.15,12.73,26.46
2020-09-07 16:14:50.9240,-15.42,17.22,12.82,26.44
2020-09-07 16:14:51.0240,-15.74,17.42,13.02,26.84
2020-09-07 16:14:51.1240,-15.6,17.37,12.69,26.57
2020-09-07 16:14:51.2240,-15.6,17.32,13.04,26.71
2020-09-07 16:14:51.3250,-15.64,17.25,12.69,26.51
2020-09-07 16:14:51.4250,-15.42,17.14,12.7,26.32
2020-09-07 16:14:51.5250,-15.15,17.1,12.73,26.16
2020-09-07 16:14:51.6250,-15.52,17.45,12.74,26.6
2020-09-07 16:14:51.7240,-15.67,17.21,12.81,26.57
2020-09-07 16:14:51.8250,-15.23,17.19,12.75,26.27
2020-09-07 16:14:51.9250,-15.32,17.28,12.82,26.42
2020-09-07 16:14:52.0250,-15.48,17.31,12.81,26.52
2020-09-07 16:14:52.1250,-15.63,17.17,12.77,26.5
2020-09-07 16:14:52.2260,-15.47,17.09,12.72,26.33
2020-09-07 16:14:52.3250,-15.53,17.0,12.83,26.36
2020-09-07 16:14:52.4250,-15.43,17.04,12.85,26.34
2020-09-07 16:14:52.5250,-15.4,17.14,12.59,26.26
2020-09-07 16:14:52.6250,-15.25,17.03,12.71,26.15
2020-09-07 16:14:52.7250,-15.26,17.17,12.59,26.19
2020-09-07 16:14:52.8250,-15.24,17.0,12.66,26.1
2020-09-07 16:14:52.9260,-15.66,17.2,12.74,26.52
2020-09-07 16:14:53.0420,-15.5,17.11,12.79,26.39
2020-09-07 16:14:53.1420,-15.36,17.13,12.57,26.22
2020-09-07 16:14:53.2420,-15.29,17.16,12.55,26.18
2020-09-07 16:14:53.3430,-15.68,17.23,12.8,26.59
2020-09-07 16:14:53.4360,-15.55,17.28,12.71,26.49
2020-09-07 16:14:53.5400,-15.6,17.45,12.77,26.66
2020-09-07 16:14:53.6400,-15.4,17.37,12.7,26.46
2020-09-07 16:14:53.7390,-15.52,17.27,12.76,26.5
2020-09-07 16:14:53.8390,-15.69,17.39,12.9,26.74
2020-09-07 16:14:53.9380,-15.47,17.28,12.53,26.36
2020-09-07 16:14:54.0370,-15.78,17.32,12.79,26.7
2020-09-07 16:14:54.1370,-15.89,17.26,12.8,26.72
2020-09-07 16:14:54.2330,-15.56,17.32,12.63,26.49
2020-09-07 16:14:54.3330,-15.64,17.03,12.89,26.47
2020-09-07 16:14:54.4280,-15.59,17.18,12.82,26.5
2020-09-07 16:14:54.5350,-15.71,17.35,12.84,26.7
2020-09-07 16:14:54.6320,-15.55,17.16,12.6,26.36
2020-09-07 16:14:54.7310,-15.33,17.38,12.84,26.49
2020-09-07 16:14:54.8290,-15.45,17.27,12.81,26.47
2020-09-07 16:14:54.9310,-15.53,16.95,12.6,26.21
2020-09-07 16:14:55.0320,-15.63,17.13,12.63,26.4
2020-09-07 16:14:55.1300,-15.79,17.37,12.93,26.8
2020-09-07 16:14:55.2290,-15.44,17.1,12.94,26.42
2020-09-07 16:14:55.3280,-15.65,17.23,12.86,26.59
2020-09-07 16:14:55.4270,-15.67,17.27,12.79,26.6
2020-09-07 16:14:55.5260,-15.79,17.32,12.71,26.66
2020-09-07 16:14:55.6270,-15.35,17.21,12.59,26.28
2020-09-07 16:14:55.7270,-15.55,17.3,12.63,26.47
2020-09-07 16:14:55.8270,-15.36,17.21,12.7,26.33
2020-09-07 16:14:55.9270,-15.84,17.4,12.81,26.79
2020-09-07 16:14:56.0270,-15.48,17.44,12.78,26.6
2020-09-07 16:14:56.1270,-15.47,17.31,12.84,26.53
2020-09-07 16:14:56.2270,-15.43,17.29,12.8,26.48
2020-09-07 16:14:56.3270,-15.63,17.27,12.97,26.66
2020-09-07 16:14:56.4270,-15.23,17.29,12.9,26.4
2020-09-07 16:14:56.5270,-15.52,17.14,12.8,26.43
2020-09-07 16:14:56.6270,-15.47,17.37,12.86,26.58
2020-09-07 16:14:56.7270,-15.32,17.36,12.72,26.42
2020-09-07 16:14:56.8270,-15.62,17.27,12.65,26.5
2020-09-07 16:14:56.9270,-15.64,17.14,12.93,26.56
2020-09-07 16:14:57.0270,-15.72,17.35,12.66,26.62
2020-09-07 16:14:57.1280,-15.4,17.58,12.73,26.61
2020-09-07 16:14:57.2280,-15.68,17.4,12.61,26.6
2020-09-07 16:14:57.3280,-15.7,17.42,12.76,26.7
2020-09-07 16:14:57.4280,-15.53,17.38,12.76,26.57
2020-09-07 16:14:57.5270,-15.34,17.71,12.89,26.74
2020-09-07 16:14:57.6280,-15.19,17.53,12.75,26.47
2020-09-07 16:14:57.7280,-15.42,17.39,12.81,26.54
2020-09-07 16:14:57.8280,-15.55,17.37,12.8,26.6
2020-09-07 16:14:57.9280,-15.27,17.36,12.66,26.36
2020-09-07 16:14:58.0280,-15.42,17.43,12.91,26.61
2020-09-07 16:14:58.1280,-15.6,17.45,12.96,26.75
2020-09-07 16:14:58.2280,-15.55,17.32,12.68,26.5
2020-09-07 16:14:58.3280,-15.28,17.32,12.77,26.39
2020-09-07 16:14:58.4280,-15.6,17.44,12.91,26.72
2020-09-07 16:14:58.5290,-15.32,17.77,12.96,26.8
2020-09-07 16:14:58.6280,-15.27,17.24,12.82,26.36
2020-09-07 16:14:58.7280,-15.59,17.35,12.89,26.65
2020-09-07 16:14:58.8280,-15.47,17.32,12.68,26.46
2020-09-07 16:14:58.9280,-15.39,17.37,13.04,26.62
